Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Genre_Drama,Genre_Crime,Genre_Action,Genre_Adventure,Genre_Biography,Genre_History,Genre_Sci-Fi,Genre_Romance,Genre_Western,Genre_Fantasy,Genre_Comedy,Genre_Thriller,Genre_Animation,Genre_Family,Genre_War,Genre_Mystery,Genre_Music,Genre_Horror,Genre_Musical,Genre_Film-Noir,Genre_Sport,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Actor_Popularity,Director_Popularity
Philadelphia,1993.0,0.07919023324951754,0.058823529411765385,0.5277777777777778,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,0.36895479598741787,0.6443426933404264,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,25,2
The Muppet Christmas Carol,1992.0,-1.3685288389537267,0.058823529411765385,0.5,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,-0.9653439375270243,0.1869221790457774,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12,1
Malcolm X,1992.0,2.8660494472407625,0.058823529411765385,0.625,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,-0.4883190783634229,0.4365430330310724,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12,4
The Last of the Mohicans,1992.0,-0.3913184652165368,0.058823529411765385,0.6666666666666667,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,0.012672160601357892,0.6338930583101096,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8,3
Kurenai no buta,1992.0,-1.0427920477079966,0.058823529411765385,0.7638888888888888,Hayao Miyazaki,Shichir Moriyama,Tokiko Kat,Bunshi Katsura Vi,Tsunehiko Kamij,-0.5759292284282496,0.5881459478426638,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,11
Glengarry Glen Ross,1992.0,-0.82563418687751,0.058823529411765385,0.75,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,-0.3898439722013274,-0.2229954738133014,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,22,1
A Few Good Men,1992.0,0.5496989317155719,0.058823529411765385,0.4722222222222222,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,0.4125568676637724,0.9091703373669813,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20,7
Fried Green Tomatoes,1991.0,0.2601551172749231,0.058823529411765385,0.5,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker,-0.7101274822267517,0.6723552203181976,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8,1
Barton Fink,1991.0,-0.2465465579962124,0.058823529411765385,0.5694444444444444,Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,-0.2407608103679211,-0.466900077811835,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,15,6
Miller's Crossing,1990.0,-0.2827395348012935,0.058823529411765385,0.5277777777777778,Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,-0.14669177836294878,-0.5510695150069598,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,13,6
Who Framed Roger Rabbit,1988.0,-0.6808622796571856,0.058823529411765385,0.7638888888888888,Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,0.18293581360612757,0.9537716690011007,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,5
Spoorloos,1988.0,-0.5722833492419424,0.058823529411765385,0.7083333333333333,George Sluizer,Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus,-1.3154591217433813,0.5881459478426638,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1
Withnail & I,1987.0,-0.5722833492419424,0.058823529411765385,0.7777777777777777,Bruce Robinson,Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown,-1.161086403174015,-1.0737525064240199,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,1
The Last Emperor,1987.0,1.4545233518425995,0.058823529411765385,0.6666666666666667,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,-0.4039305478974425,0.39663035647376466,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,2
Empire of the Sun,1987.0,1.0925935837917884,0.058823529411765385,0.4722222222222222,Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,-0.22175002957463508,0.09718772163256467,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16,13
Der Name der Rose,1986.0,0.2601551172749231,0.058823529411765385,0.36111111111111116,Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin,-0.33382451861508133,-0.40081714717951006,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,9,2
Blue Velvet,1986.0,-0.10177465077588797,0.058823529411765385,0.6666666666666667,David Lynch,Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,0.17937714965333243,-0.3224546482321834,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,5
The Purple Rose of Cairo,1985.0,-1.4771077693689698,0.058823529411765385,0.6527777777777777,Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,-1.0239590791335424,-0.22685625246727417,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9,9
After Hours,1985.0,-0.9342131172927534,0.058823529411765385,0.8611111111111112,Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong,-0.8133126713408717,-0.22815219573918086,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,10
Zelig,1983.0,-1.5856866997842132,0.058823529411765385,0.7083333333333333,Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter,-1.1725422742161913,-0.18111570478493,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,9
The Verdict,1982.0,0.22396214046984195,0.058823529411765385,0.6805555555555556,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,-1.2615749592474326,0.48670625322610084,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12,5
Star Trek II: The Wrath of Khan,1982.0,-0.3551254884114557,0.058823529411765385,0.5416666666666666,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,-0.24499695573343766,0.6532714172161915,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5,1
First Blood,1982.0,-1.0789850245130779,0.058823529411765385,0.45833333333333337,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,0.37835262553377114,0.42773215550987226,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,1
Ordinary People,1980.0,0.04299725644443644,0.058823529411765385,0.8055555555555556,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,-1.0240159476377264,0.49316323971969,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6,1
Airplane!,1980.0,-1.2599499085384833,0.058823529411765385,0.6944444444444444,Jim Abrahams,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty,0.33117746055742664,0.6775530603317247,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,1
Rupan sansei: Kariosutoro no shiro,1979.0,-0.82563418687751,0.058823529411765385,0.5972222222222222,Hayao Miyazaki,Yasuo Yamada,Eiko Masuyama,Kiyoshi Kobayashi,Makio Inoue,-1.520345371721208,0.5881459478426638,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,11
Halloween,1978.0,-1.15137097812324,0.058823529411765385,0.8194444444444444,John Carpenter,Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes,0.40385883358456187,0.42574772850264375,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2
Le locataire,1976.0,0.11538321005459864,0.058823529411765385,0.5972222222222222,Roman Polanski,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet,-1.172363190350787,-0.977230090389203,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5,5
Love and Death,1975.0,-1.3685288389537267,0.058823529411765385,0.8472222222222221,Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Frank Adu,-1.2630355353044886,0.5881459478426638,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,13,9
The Taking of Pelham One Two Three,1974.0,-0.6808622796571856,0.058823529411765385,0.5555555555555556,Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo,-1.5298150034310662,0.5881459478426638,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12,1
Blazing Saddles,1974.0,-1.0789850245130779,0.058823529411765385,0.625,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman,-0.14547916976258216,0.8354714979084374,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2
Serpico,1973.0,0.2601551172749231,0.058823529411765385,0.8194444444444444,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,-0.2671583100763495,0.22569151151205596,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,5
Enter the Dragon,1973.0,-0.7532482332673478,0.058823529411765385,0.7638888888888888,Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri,-0.38302184531149575,0.14857701690568434,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,1
